,FIPS,job_creation_rate_1978,job_creation_rate_1979,job_creation_rate_1980,job_creation_rate_1981,job_creation_rate_1982,job_creation_rate_1983,job_creation_rate_1984,job_creation_rate_1985,job_creation_rate_1986,job_creation_rate_1987,job_creation_rate_1988,job_creation_rate_1989,job_creation_rate_1990,job_creation_rate_1991,job_creation_rate_1992,job_creation_rate_1993,job_creation_rate_1994,job_creation_rate_1995,job_creation_rate_1996,job_creation_rate_1997,job_creation_rate_1998,job_creation_rate_1999,job_creation_rate_2000,job_creation_rate_2001,job_creation_rate_2002,job_creation_rate_2003,job_creation_rate_2004,job_creation_rate_2005,job_creation_rate_2006,job_creation_rate_2007,job_creation_rate_2008,job_creation_rate_2009,job_creation_rate_2010,job_creation_rate_2011,job_creation_rate_2012,job_creation_rate_2013,job_creation_rate_2014,job_creation_rate_2015,job_creation_rate_2016,job_creation_rate_2017,job_creation_rate_2018,job_creation_rate_2019
2746,48267,27.648,23.647,16.324,22.869,27.39,19.236,21.807,18.02,23.166,17.534,19.117,14.945,18.904,17.664,13.431,19.405,13.828,15.844,21.283,13.632,12.527,11.352,22.912,14.138,13.445,21.335,17.164,18.545,15.73,14.407,15.404,7.759,11.561,10.826,12.536,16.232,13.671,11.803,9.277,8.962,13.651,7.991
2747,48269,,,64.865,13.043,40.0,68.571,65.385,10.0,36.735,8.511,18.182,35.556,15.0,22.857,17.647,24.242,7.692,108.333,37.5,24.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0
2748,48271,13.288,22.442,14.634,14.617,17.982,12.23,19.788,17.133,8.539,26.316,12.219,21.441,8.624,6.754,29.862,7.339,8.63,6.202,6.883,16.532,6.996,4.036,11.905,19.048,16.913,16.847,18.919,35.917,11.765,10.575,8.896,10.015,12.802,9.485,3.352,11.533,13.941,46.572,9.842,9.024,9.651,8.123
2749,48273,32.626,26.976,14.821,20.755,27.602,11.804,16.86,15.653,22.497,20.287,16.376,18.234,18.64,18.448,17.326,14.776,21.947,12.603,14.025,15.745,12.783,10.641,14.113,12.873,17.651,15.911,16.953,17.369,19.376,15.055,12.136,13.553,13.944,10.838,11.873,15.956,10.683,9.642,12.368,11.896,16.352,9.26
2750,48275,39.276,31.686,13.385,16.983,19.886,21.6,12.201,28.003,16.022,11.103,14.486,13.887,28.093,19.85,9.162,18.544,15.89,21.424,16.159,18.795,24.071,7.731,15.351,13.15,16.559,25.174,17.764,14.13,16.423,8.931,12.19,13.046,14.046,8.463,9.284,14.035,5.765,8.769,9.779,19.796,11.304,11.828
2751,48277,16.055,15.131,14.111,15.157,14.159,16.531,18.19,13.503,13.867,13.663,10.726,17.1,13.436,12.417,12.721,15.161,14.78,16.721,13.875,13.813,14.264,18.561,19.583,13.527,15.681,16.712,13.037,13.059,15.445,15.599,14.428,8.971,10.73,10.722,9.683,11.958,15.0,14.001,10.007,11.841,13.171,10.433
2752,48279,29.654,18.988,25.433,21.944,13.756,16.914,13.762,13.592,13.221,25.416,39.743,12.129,12.803,18.734,14.686,14.633,10.78,20.632,14.889,9.922,11.309,10.323,15.328,14.547,16.667,12.149,9.071,17.458,13.91,10.791,16.213,6.228,8.385,8.922,6.447,8.742,9.947,8.675,11.813,18.592,11.929,12.159
2753,48281,27.033,20.478,25.524,19.885,22.431,36.913,31.091,24.832,19.581,19.205,21.108,18.729,20.68,15.213,25.658,21.328,22.524,17.367,15.379,18.248,15.187,23.13,23.824,18.364,23.784,26.916,26.017,10.928,18.783,14.91,13.676,15.399,14.72,15.34,10.209,15.582,10.995,19.624,13.143,15.329,13.311,10.098
2754,48283,28.638,32.139,13.111,18.8,31.102,40.962,24.486,15.642,24.558,12.974,30.705,9.865,80.466,13.855,15.4,24.793,20.287,25.758,20.019,21.448,27.157,13.534,27.648,18.334,18.298,25.67,34.696,50.539,9.725,12.355,15.376,5.609,10.311,45.291,24.554,16.571,31.57,29.152,20.65,17.221,22.148,11.077
2755,48285,38.27,15.699,19.008,20.7,11.168,17.11,15.379,11.88,8.406,16.835,14.544,14.57,16.074,9.981,11.709,11.453,8.577,17.079,12.238,10.879,13.938,8.724,15.861,5.991,13.387,13.473,17.639,8.913,8.91,13.864,14.722,11.523,10.429,13.221,12.73,12.91,10.978,9.686,13.053,8.682,11.266,10.629
2756,48287,28.21,37.903,27.084,45.769,27.744,20.697,27.293,20.891,17.808,12.229,14.046,12.21,18.107,23.815,19.154,20.875,17.288,17.153,17.088,17.768,11.858,9.992,20.028,13.593,16.235,17.639,12.601,14.389,17.129,20.59,15.597,12.636,9.1,25.673,12.803,23.003,10.864,20.785,9.287,10.579,13.341,16.061
2757,48289,28.364,24.504,23.654,30.564,30.339,22.106,20.023,19.943,25.973,26.897,15.644,12.54,14.821,21.277,15.315,21.347,26.669,18.194,16.847,13.44,15.036,16.29,26.114,23.942,24.97,17.22,13.286,15.072,12.907,23.497,13.768,11.349,9.178,12.076,15.795,13.343,13.658,19.078,9.321,10.069,14.385,15.617
2758,48291,27.595,28.955,27.58,28.444,22.871,16.209,24.58,19.155,21.813,22.216,20.745,21.21,23.749,17.158,18.956,22.555,27.923,21.271,14.774,18.085,15.225,17.725,19.102,15.374,20.036,15.096,13.859,19.361,19.313,18.811,17.301,13.903,10.108,16.033,15.155,13.137,13.266,14.742,16.063,11.641,20.177,14.257
2759,48293,30.224,21.135,30.187,15.835,14.51,29.057,25.361,19.307,20.969,14.157,17.268,21.625,23.938,23.422,21.89,21.107,18.44,20.537,20.103,16.252,23.051,12.229,16.904,17.477,14.053,24.043,10.985,13.097,17.115,14.241,12.795,14.17,12.969,13.234,8.616,9.673,7.565,13.857,8.9,13.862,9.635,17.844
2760,48295,23.773,37.283,19.554,18.035,14.094,14.229,14.022,13.63,10.025,9.833,19.355,16.344,19.512,14.794,12.351,10.067,26.498,14.189,8.722,15.663,19.776,10.831,21.606,7.784,9.702,16.198,15.806,11.716,31.273,29.985,14.506,13.677,14.571,16.449,16.818,8.465,9.469,11.124,3.831,7.434,16.676,19.884
